reviewer,date,rating,title,text,source,cleaned_text,text_no_stop,stemmed_text,review_length
553amela,,,No Title (Google Maps),"Un hôtel exceptionnel au cœur de Tunis !|Je le recommande vivement à toute personne de passage ou en mission dans le centre. Le personnel est d’une grande gentillesse et très professionnel. Un immense merci aux réceptionnistes Saousen, …",Google Maps,un hôtel exceptionnel au cœur de tunis je le recommande vivement à toute personne de passage ou en mission dans le centre le personnel est dune grande gentillesse et très professionnel un immense merci aux réceptionnistes saousen,hôtel exceptionnel cœur tunis recommande vivement toute personne passage mission centre personnel est dune grande gentillesse très professionnel immense merci réceptionnistes saousen,hôtel exceptionnel cœur tuni recommande vive toute personne passage mission centre personnel est dune grande gentillesse trè professionnel immense merci réceptionniste saousen,22
Sabrina Deleurme,,,No Title (Google Maps),"Bonjour,

Je vous écris pour vous faire part de mon immense déception – et pour être …",Google Maps,"bonjour

je vous écris pour vous faire part de mon immense déception  et pour être",bonjour écris faire part immense déception être,bonjour écri faire part immense déception être,7
C’pas des lol,,,No Title (Google Maps),Une véritable honte pour l’hôtellerie tunisienne. Cet établissement n’a absolument rien d’un hôtel professionnel. L’ambiance est indigne d’un lieu censé accueillir des voyageurs — impossible d’y trouver le moindre calme ou repos. …,Google Maps,une véritable honte pour lhôtellerie tunisienne cet établissement na absolument rien dun hôtel professionnel lambiance est indigne dun lieu censé accueillir des voyageurs  impossible dy trouver le moindre calme ou repos,véritable honte lhôtellerie tunisienne établissement na absolument rien dun hôtel professionnel lambiance est indigne dun lieu censé accueillir voyageurs impossible dy trouver moindre calme repos,véritable honte lhôtellerie tunisienne établisse na absolu rien dun hôtel professionnel lambiance est indigne dun lieu censé accueillir voyageur impossible dy trouver moindre calme repo,25
Nabil,,,No Title (Google Maps),"Excellent séjour au Business Hôtel !
J’ai passé un séjour exceptionnel dans cet établissement. L’emplacement est parfait, en plein cœur de Tunis, ce qui facilite les déplacements pour affaires …",Google Maps,"excellent séjour au business hôtel 
jai passé un séjour exceptionnel dans cet établissement lemplacement est parfait en plein cœur de tunis ce qui facilite les déplacements pour affaires",excellent séjour business hôtel jai passé séjour exceptionnel établissement lemplacement est parfait plein cœur tunis facilite déplacements affaires,excellent séjour busines hôtel jai passé séjour exceptionnel établisse lemplace est parfait plein cœur tuni facilite déplacement affaire,18
Joelle Levray,,,No Title (Google Maps),"Très bon hôtel, très propre, service impeccable, personnel très gentil. Restaurant au top ainsi que les petits déjeuner. Nous recommandons à 100%",Google Maps,très bon hôtel très propre service impeccable personnel très gentil restaurant au top ainsi que les petits déjeuner nous recommandons à,très bon hôtel très propre service impeccable personnel très gentil restaurant top ainsi petits déjeuner recommandons,trè bon hôtel trè propre service impeccable personnel trè gentil restaurant top ainsi petit déjeuner recommandon,16
909melekz,,,No Title (Google Maps),"L’hôtel offre un cadre agréable, calme et propice à la détente. L’ambiance y est chaleureuse, et le personnel dans l’ensemble est accueillant. Le service est correct, la nourriture est bonne mais pourrait être un peu plus variée. Quelques …",Google Maps,lhôtel offre un cadre agréable calme et propice à la détente lambiance y est chaleureuse et le personnel dans lensemble est accueillant le service est correct la nourriture est bonne mais pourrait être un peu plus variée quelques,lhôtel offre cadre agréable calme propice détente lambiance est chaleureuse personnel lensemble est accueillant service est correct nourriture est bonne pourrait être peu plus variée quelques,lhôtel offre cadre agréable calme propice détente lambiance est chaleureuse personnel lensemble est accueillant service est correct nourriture est bonne pourrait être peu plu variée quelque,26
BilelHachicha,,,No Title (Google Maps),Un véritable sans-faute – une référence à Tunis !|Un hôtel et service de 7 étoiles de Lux. |J’ai séjourné au Business Hôtel de Tunis – Montplaisir et je ne peux que recommander chaudement cet établissement. Il coche absolument toutes les …,Google Maps,un véritable sansfaute  une référence à tunis un hôtel et service de  étoiles de lux jai séjourné au business hôtel de tunis  montplaisir et je ne peux que recommander chaudement cet établissement il coche absolument toutes les,véritable sansfaute référence tunis hôtel service étoiles lux jai séjourné business hôtel tunis montplaisir peux recommander chaudement établissement coche absolument toutes,véritable sansfaute référence tuni hôtel service étoile lux jai séjourné busines hôtel tuni montplaisir peux recommander chaude établisse coche absolu toute,21
Bessem Bouzouita,,,No Title (Google Maps),"L’hotel est bon mais la,discothèque jusqu,à 1h du matin .aussi aujourd’hui après deux nuitees à l’hotel, la receptionniste m’a demande de payer une consommation de mini bar de lachambre malgré que je n’ai rien consomme et elle a insisté de payer et je n’ai rien consomme",Google Maps,lhotel est bon mais ladiscothèque jusquà h du matin aussi aujourdhui après deux nuitees à lhotel la receptionniste ma demande de payer une consommation de mini bar de lachambre malgré que je nai rien consomme et elle a insisté de payer et je nai rien consomme,lhotel est bon ladiscothèque jusquà h matin aujourdhui après deux nuitees lhotel receptionniste demande payer consommation mini bar lachambre malgré nai rien consomme insisté payer nai rien consomme,lhotel est bon ladiscothèque jusquà h matin aujourdhui aprè deux nuitee lhotel receptionniste demande payer consommation mini bar lachambre malgré nai rien consomme insisté payer nai rien consomme,28
Travel50456288734,,,No Title (Google Maps),"J’ai passé un excellent séjour au Business Hotel. L’établissement est propre, bien entretenu, et parfaitement adapté aux séjours professionnels. Un grand merci à tout le personnel pour leur gentillesse, leur professionnalisme et leur …",Google Maps,jai passé un excellent séjour au business hotel létablissement est propre bien entretenu et parfaitement adapté aux séjours professionnels un grand merci à tout le personnel pour leur gentillesse leur professionnalisme et leur,jai passé excellent séjour business hotel létablissement est propre bien entretenu parfaitement adapté séjours professionnels grand merci tout personnel gentillesse professionnalisme,jai passé excellent séjour busines hotel létablisse est propre bien entretenu parfaite adapté séjour professionnel grand merci tout personnel gentillesse professionnalisme,21
Ines Driving,,,No Title (Google Maps),Très bon hotel propre et personnel tres gentille et serviable . Petit déjeuner a hauteur de 4 étoiles. A refaire,Google Maps,très bon hotel propre et personnel tres gentille et serviable  petit déjeuner a hauteur de  étoiles a refaire,très bon hotel propre personnel tres gentille serviable petit déjeuner hauteur étoiles refaire,trè bon hotel propre personnel tre gentille serviable petit déjeuner hauteur étoile refaire,13
